Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,feature_1,feature_2,feature_3,feature_4
M,298.1,308.6,1551,42.8,0,0,91993.66000000002,36.23831775700935,0,0.0
L,298.2,308.7,1408,46.3,3,0,92054.34,30.41036717062635,4224,138.89999999999998
L,298.1,308.5,1498,49.4,5,0,91963.85,30.323886639676115,7490,247.0
L,298.2,308.6,1433,39.5,7,0,92024.52,36.278481012658226,10031,276.5
L,298.2,308.7,1408,40.0,9,0,92054.34,35.2,12672,360.0
M,298.1,308.6,1425,41.9,11,0,91993.66000000002,34.00954653937948,15675,460.9
L,298.1,308.6,1558,42.4,14,0,91993.66000000002,36.74528301886792,21812,593.6
L,298.1,308.6,1527,40.2,16,0,91993.66000000002,37.98507462686567,24432,643.2
M,298.3,308.7,1667,28.6,18,0,92085.21,58.28671328671329,30006,514.8000000000001
M,298.5,309.0,1741,28.0,21,0,92236.5,62.17857142857143,36561,588.0
H,298.4,308.9,1782,23.9,24,0,92175.75999999998,74.56066945606695,42768,573.5999999999999
H,298.6,309.1,1423,44.3,29,0,92297.26000000001,32.121896162528216,41267,1284.6999999999998
M,298.6,309.1,1339,51.1,34,0,92297.26000000001,26.203522504892366,45526,1737.4
M,298.6,309.2,1742,30.0,37,0,92327.12000000001,58.06666666666667,64454,1110.0
L,298.6,309.2,2035,19.6,40,0,92327.12000000001,103.8265306122449,81400,784.0
L,298.6,309.2,1542,48.4,42,0,92327.12000000001,31.859504132231407,64764,2032.8
M,298.6,309.2,1311,46.6,44,0,92327.12000000001,28.13304721030043,57684,2050.4
M,298.7,309.2,1410,45.6,47,0,92358.04,30.921052631578945,66270,2143.2000000000003
H,298.8,309.2,1306,54.5,50,0,92388.96,23.96330275229358,65300,2725.0
M,298.9,309.3,1632,32.5,55,0,92449.76999999999,50.215384615384615,89760,1787.5
H,298.9,309.3,1375,42.7,58,0,92449.76999999999,32.20140515222482,79750,2476.6000000000004
L,298.8,309.3,1450,44.8,63,0,92418.84000000001,32.36607142857143,91350,2822.3999999999996
M,298.9,309.3,1581,30.7,65,0,92449.76999999999,51.498371335504885,102765,1995.5
L,299.0,309.4,1758,25.7,68,0,92510.59999999999,68.40466926070039,119544,1747.6
M,299.0,309.4,1561,37.3,70,0,92510.59999999999,41.84986595174263,109270,2611.0
L,299.0,309.5,1861,23.3,73,0,92540.5,79.87124463519314,135853,1700.9
L,299.1,309.5,1512,39.0,75,0,92571.45000000001,38.76923076923077,113400,2925.0
H,299.1,309.4,1811,24.6,77,0,92541.54,73.61788617886178,139447,1894.2
L,299.1,309.4,1439,44.2,82,0,92541.54,32.556561085972845,117998,3624.4
L,299.0,309.4,1693,30.1,84,0,92510.59999999999,56.24584717607973,142212,2528.4
M,299.1,309.5,1339,48.2,86,0,92571.45000000001,27.780082987551864,115154,4145.2
L,299.0,309.4,1798,25.5,89,0,92510.59999999999,70.50980392156863,160022,2269.5
L,299.0,309.4,1419,48.3,91,0,92510.59999999999,29.378881987577643,129129,4395.3
L,298.9,309.3,1665,32.5,93,0,92449.76999999999,51.23076923076923,154845,3022.5
M,298.8,309.1,1559,34.7,95,0,92359.08000000002,44.92795389048991,148105,3296.5000000000005
M,298.8,309.2,1452,48.6,98,0,92388.96,29.87654320987654,142296,4762.8
M,298.9,309.2,1581,36.7,101,0,92419.87999999999,43.07901907356948,159681,3706.7000000000003
L,298.8,309.1,1439,39.2,104,0,92359.08000000002,36.70918367346938,149656,4076.8
H,298.9,309.2,1379,50.7,106,0,92419.87999999999,27.19921104536489,146174,5374.200000000001
L,298.8,309.1,1350,52.5,111,0,92359.08000000002,25.714285714285715,149850,5827.5
L,298.8,309.1,1362,45.4,113,0,92359.08000000002,30.0,153906,5130.2
L,298.8,309.1,1368,50.8,115,0,92359.08000000002,26.92913385826772,157320,5842.0
M,298.8,309.1,1368,49.1,117,0,92359.08000000002,27.861507128309572,160056,5744.7
H,298.8,309.2,1372,48.5,120,0,92388.96,28.288659793814432,164640,5820.0
M,298.8,309.1,1472,47.5,125,0,92359.08000000002,30.989473684210527,184000,5937.5
L,298.8,309.1,1489,49.1,128,0,92359.08000000002,30.325865580448063,190592,6284.8
M,298.7,309.0,1843,25.8,130,0,92298.3,71.43410852713178,239590,3354.0
L,298.8,309.1,1418,46.3,133,0,92359.08000000002,30.62634989200864,188594,6157.9
H,298.8,309.2,1425,53.9,135,0,92388.96,26.437847866419297,192375,7276.5
M,298.9,309.2,1412,44.1,140,0,92419.87999999999,32.01814058956916,197680,6174.0
L,298.9,309.1,2861,4.6,143,1,92389.99,621.9565217391305,409123,657.8
L,298.9,309.1,1383,54.9,145,0,92389.99,25.191256830601095,200535,7960.5
H,298.8,309.0,1497,43.8,147,0,92329.2,34.178082191780824,220059,6438.599999999999
L,298.7,309.0,1565,35.1,152,0,92298.3,44.58689458689459,237880,5335.2
L,298.7,309.0,1691,30.1,154,0,92298.3,56.17940199335548,260414,4635.400000000001
L,298.8,309.1,1512,40.7,156,0,92359.08000000002,37.14987714987715,235872,6349.200000000001
L,298.8,309.1,1477,42.4,158,0,92359.08000000002,34.83490566037736,233366,6699.2
L,298.8,309.1,1513,40.3,160,0,92359.08000000002,37.54342431761787,242080,6448.0
M,298.8,309.0,1661,29.5,162,0,92329.2,56.30508474576271,269082,4779.0
L,298.8,309.1,1378,54.4,165,0,92359.08000000002,25.330882352941178,227370,8976.0
L,298.8,309.1,1393,52.6,167,0,92359.08000000002,26.482889733840302,232631,8784.2
M,298.8,309.0,1592,38.2,169,0,92329.2,41.675392670157066,269048,6455.8
L,298.8,309.0,1829,22.9,172,0,92329.2,79.86899563318778,314588,3938.7999999999997
M,298.9,309.0,1812,25.9,174,0,92360.09999999999,69.96138996138997,315288,4506.599999999999
L,299.0,309.1,1523,38.6,177,0,92420.90000000001,39.4559585492228,269571,6832.2
L,299.0,309.1,1394,45.1,179,0,92420.90000000001,30.909090909090907,249526,8072.900000000001
M,298.9,308.9,1679,28.7,181,0,92330.20999999999,58.501742160278745,303899,5194.7
H,298.8,308.9,1466,44.1,184,0,92299.31999999999,33.24263038548753,269744,8114.400000000001
L,298.8,308.9,1527,32.4,189,0,92299.31999999999,47.12962962962963,288603,6123.599999999999
L,298.9,309.0,1410,65.7,191,1,92360.09999999999,21.461187214611872,269310,12548.7
M,298.9,309.0,1924,22.6,193,0,92360.09999999999,85.13274336283185,371332,4361.8
L,298.9,309.1,1452,45.5,196,0,92389.99,31.912087912087912,284592,8918.0
L,298.9,309.1,1369,44.4,198,0,92389.99,30.833333333333336,271062,8791.199999999999
L,299.0,309.1,1592,35.0,200,0,92420.90000000001,45.48571428571429,318400,7000.0
L,298.9,309.0,1601,32.3,202,0,92360.09999999999,49.566563467492266,323402,6524.599999999999
L,298.8,308.9,1379,46.7,204,0,92299.31999999999,29.528907922912204,281316,9526.800000000001
L,298.8,308.9,1461,47.9,206,0,92299.31999999999,30.501043841336116,300966,9867.4
L,298.8,308.9,1455,41.3,208,1,92299.31999999999,35.23002421307506,302640,8590.4
L,298.8,308.9,1398,51.5,0,0,92299.31999999999,27.145631067961165,0,0.0
L,298.8,308.9,1402,37.9,2,0,92299.31999999999,36.99208443271768,2804,75.8
H,298.8,308.8,1445,49.9,4,0,92269.44,28.95791583166333,5780,199.6
L,298.9,308.9,1450,47.5,9,0,92330.20999999999,30.526315789473685,13050,427.5
L,298.9,308.9,1453,40.8,11,0,92330.20999999999,35.61274509803922,15983,448.79999999999995
L,299.0,309.0,1469,40.1,13,0,92391.0,36.633416458852864,19097,521.3000000000001
L,298.9,308.9,1422,47.6,15,0,92330.20999999999,29.873949579831933,21330,714.0
M,299.0,309.0,1804,26.8,17,0,92391.0,67.31343283582089,30668,455.6
H,299.0,309.0,1436,43.9,20,0,92391.0,32.710706150341686,28720,878.0
L,299.0,309.0,1544,31.8,25,0,92391.0,48.55345911949686,38600,795.0
M,299.0,309.0,1419,45.2,27,0,92391.0,31.39380530973451,38313,1220.4
M,298.9,308.9,1487,39.5,30,0,92330.20999999999,37.64556962025316,44610,1185.0
L,298.9,308.9,1753,25.8,33,0,92330.20999999999,67.94573643410853,57849,851.4
